name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,899232,1000,351.38ms,272.24us,2.82us,273.22us,7.51us,259.58us,335.05us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2024-04-19,,899232,1000,50.64ms,36.57us,648.00ns,37.01us,1.95us,35.43us,58.55us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,899232,1000,150.88ms,90.92us,1.44us,91.60us,3.11us,87.48us,111.94us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,899232,1000,201.06ms,134.28us,212.00ns,135.68us,2.83us,133.73us,163.05us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,1570556,1000,451.51ms,397.32us,3.11us,398.94us,11.72us,382.79us,572.41us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2024-04-19,,1570556,1000,451.45ms,381.27us,1.88us,381.10us,4.50us,372.96us,408.00us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,1570556,1000,200.90ms,155.26us,1.51us,157.08us,4.11us,152.94us,208.29us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,1570556,1000,351.28ms,292.22us,3.00us,291.30us,4.20us,285.89us,318.09us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,899232,888,601.48ms,561.48us,3.39us,562.66us,6.62us,545.84us,602.12us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2024-04-19,,899232,1000,100.67ms,79.97us,110.00ns,81.03us,2.80us,79.68us,109.50us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,899232,248,751.81ms,2.02ms,4.26us,2.02ms,8.05us,1.99ms,2.05ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,899232,1000,501.61ms,440.85us,1.46us,442.10us,6.44us,435.22us,550.59us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,1570556,74,751.89ms,6.80ms,19.43us,6.80ms,36.49us,6.73ms,7.02ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2024-04-19,,1570556,722,601.57ms,692.02us,3.81us,693.30us,11.39us,680.91us,891.00us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,1570556,54,751.83ms,9.34ms,20.25us,9.34ms,32.23us,9.29ms,9.45ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,1570556,338,701.96ms,1.48ms,6.82us,1.48ms,11.73us,1.46ms,1.54ms
hyperscan/literal-casei-english-nosom,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,613357,1000,100.73ms,82.01us,456.00ns,82.86us,2.69us,79.01us,111.53us
hyperscan/literal-casei-english-nosom,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2024-04-19,,613357,1000,50.50ms,16.56us,25.00ns,16.80us,1.55us,16.46us,45.45us
hyperscan/literal-casei-english-nosom,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,613357,1000,100.70ms,63.71us,54.00ns,64.39us,1.94us,63.56us,80.52us
hyperscan/literal-casei-english-som,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,613357,1000,100.64ms,82.01us,453.00ns,82.82us,2.45us,79.30us,102.69us
hyperscan/literal-casei-english-som,count-spans,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2024-04-19,,613357,1000,50.58ms,16.56us,28.00ns,16.81us,1.56us,16.45us,42.48us
hyperscan/literal-casei-english-som,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,613357,1000,100.74ms,63.75us,54.00ns,64.38us,1.81us,63.58us,78.35us
hyperscan/literal-casei-russian-nosom,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,613423,1000,100.71ms,57.30us,160.00ns,58.04us,2.15us,56.50us,79.33us
hyperscan/literal-casei-russian-nosom,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2024-04-19,,613423,1000,150.81ms,86.61us,231.00ns,87.59us,2.94us,86.22us,119.49us
hyperscan/literal-casei-russian-nosom,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,613423,1000,100.71ms,80.69us,61.00ns,81.59us,2.54us,80.42us,107.68us
hyperscan/literal-casei-russian-som,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,613423,1000,100.67ms,58.17us,148.00ns,59.05us,3.66us,57.49us,134.75us
hyperscan/literal-casei-russian-som,count-spans,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2024-04-19,,613423,1000,150.80ms,86.59us,162.00ns,87.53us,2.29us,86.30us,117.81us
hyperscan/literal-casei-russian-som,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,613423,1000,100.71ms,80.34us,77.00ns,81.22us,2.81us,79.99us,106.23us
imported/leipzig/twain-insensitive,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,16013977,550,651.67ms,901.13us,26.85us,908.42us,43.25us,822.89us,1.24ms
imported/leipzig/twain-insensitive,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2024-04-19,,16013977,702,601.70ms,704.01us,16.85us,712.76us,35.62us,644.90us,1.00ms
imported/leipzig/twain-insensitive,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,16013977,359,701.81ms,1.38ms,39.02us,1.40ms,85.28us,1.22ms,1.92ms
imported/leipzig/twain-insensitive,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,16013977,231,751.91ms,2.17ms,49.53us,2.17ms,80.53us,1.98ms,2.46ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,16013977,110,801.98ms,4.56ms,33.88us,4.55ms,49.99us,4.44ms,4.70ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 463d00f318),hyperscan,5.4.2 2024-04-19,,16013977,318,701.80ms,1.56ms,49.25us,1.58ms,116.42us,1.44ms,3.19ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,16013977,10,752.01ms,51.21ms,72.26us,51.27ms,135.53us,51.13ms,51.53ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,16013977,24,802.21ms,21.42ms,40.17us,21.68ms,445.03us,21.34ms,22.89ms
imported/sherlock/name-sherlock-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,1000,150.80ms,106.65us,1.30us,108.11us,5.37us,103.56us,212.95us
